cDen,Pot,Sn %,pH,weight,Cu %,C2H4,CO,H2,EtoH,Formate
0.3333333333333333,0.6862745098039216,1.0,1.0,1.0,0.0,0.0,0.23,0.12,0.0,0.61
0.3333333333333333,0.6470588235294118,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0,0.23,0.07,0.0,0.66
0.3333333333333333,0.627450980392157,0.5,1.0,0.767652261814506,0.5,0.0,0.34,0.05,0.03,0.52
0.3333333333333333,0.607843137254902,0.1,1.0,0.5817740712661107,0.9,0.01,0.42,0.05,0.02,0.42
0.3333333333333333,0.5882352941176471,0.05,1.0,0.5585392974475613,0.95,0.04,0.48,0.05,0.1,0.19
0.3333333333333333,0.5882352941176471,0.03,1.0,0.5492453879201415,0.97,0.07,0.5,0.05,0.11,0.14
0.3333333333333333,0.5490196078431373,0.0,1.0,0.5353045236290119,1.0,0.15,0.47,0.11,0.06,0.11
0.5555555555555556,0.7843137254901962,1.0,1.0,1.0,0.0,0.0,0.2,0.11,0.0,0.64
0.5555555555555556,0.7450980392156863,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0,0.2,0.09,0.0,0.67
0.5555555555555556,0.7254901960784315,0.5,1.0,0.767652261814506,0.5,0.01,0.27,0.07,0.03,0.58
0.5555555555555556,0.7058823529411765,0.1,1.0,0.5817740712661107,0.9,0.03,0.34,0.07,0.03,0.45
0.5555555555555556,0.7058823529411765,0.05,1.0,0.5585392974475613,0.95,0.06,0.5,0.06,0.08,0.19
0.5555555555555556,0.6862745098039216,0.03,1.0,0.5492453879201415,0.97,0.08,0.43,0.06,0.19,0.14
0.5555555555555556,0.627450980392157,0.0,1.0,0.5353045236290119,1.0,0.28,0.31,0.14,0.09,0.08
0.7777777777777778,0.8431372549019608,1.0,1.0,1.0,0.0,0.0,0.22,0.12,0.0,0.63
0.7777777777777778,0.823529411764706,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0,0.17,0.1,0.0,0.7
0.7777777777777778,0.803921568627451,0.5,1.0,0.767652261814506,0.5,0.02,0.36,0.08,0.02,0.48
0.7777777777777778,0.803921568627451,0.1,1.0,0.5817740712661107,0.9,0.06,0.23,0.07,0.12,0.42
0.7777777777777778,0.7843137254901962,0.05,1.0,0.5585392974475613,0.95,0.08,0.12,0.07,0.32,0.23
0.7777777777777778,0.7843137254901962,0.03,1.0,0.5492453879201415,0.97,0.09,0.05,0.06,0.48,0.09
0.7777777777777778,0.7058823529411765,0.0,1.0,0.5353045236290119,1.0,0.31,0.15,0.15,0.14,0.09
1.0,0.9215686274509804,1.0,1.0,1.0,0.0,0.0,0.18,0.37,0.0,0.33
1.0,0.9019607843137255,0.8,1.0,0.9070609047258024,0.19999999999999996,0.0,0.1,0.32,0.0,0.5
1.0,0.9019607843137255,0.5,1.0,0.767652261814506,0.5,0.02,0.19,0.33,0.02,0.39
1.0,0.8823529411764707,0.1,1.0,0.5817740712661107,0.9,0.03,0.1,0.3,0.07,0.37
1.0,0.8823529411764707,0.05,1.0,0.5585392974475613,0.95,0.06,0.1,0.29,0.21,0.14
1.0,0.8627450980392158,0.03,1.0,0.5492453879201415,0.97,0.1,0.05,0.27,0.26,0.09
1.0,0.823529411764706,0.0,1.0,0.5353045236290119,1.0,0.25,0.09,0.28,0.11,0.08
0.31333333333333335,0.7843137254901962,1.0,0.5708185053380782,1.0,0.0,0.0,0.22,0.16,0.0,0.59
0.31777777777777777,0.7843137254901962,0.8,0.5708185053380782,0.9070609047258024,0.19999999999999996,0.0,0.19,0.13,0.0,0.62
0.31777777777777777,0.7843137254901962,0.5,0.5708185053380782,0.767652261814506,0.5,0.01,0.27,0.1,0.02,0.56
0.32222222222222224,0.7843137254901962,0.1,0.5708185053380782,0.5817740712661107,0.9,0.11,0.33,0.1,0.04,0.38
0.33111111111111113,0.7843137254901962,0.05,0.5708185053380782,0.5585392974475613,0.95,0.21,0.28,0.1,0.14,0.19
0.3333333333333333,0.7843137254901962,0.03,0.5708185053380782,0.5492453879201415,0.97,0.24,0.18,0.09,0.25,0.14
0.3333333333333333,0.7843137254901962,0.0,0.5708185053380782,0.5353045236290119,1.0,0.37,0.13,0.17,0.11,0.07
0.3333333333333333,0.7058823529411765,0.03,0.5708185053380782,0.5492453879201415,0.97,0.239516455003848,0.30163824589885196,0.080746270905033,0.129500698712962,0.129637854288436
0.38,0.7843137254901962,0.03,0.5708185053380782,0.5492453879201415,0.97,0.235229207070851,0.18302534705562098,0.090892864927848,0.245018432130924,0.138573229091115
0.44666666666666666,0.9019607843137255,0.03,0.5708185053380782,0.5492453879201415,0.97,0.250941959137853,0.099039458950663,0.19441244821239,0.210536165548886,0.177508603893795
0.5555555555555556,0.9411764705882353,0.03,0.5708185053380782,0.5492453879201415,0.97,0.10928749463256598,0.134479266098054,0.203243561125343,0.18179978291734902,0.109757870283591
0.6666666666666666,0.9803921568627452,0.03,0.5708185053380782,0.5492453879201415,0.97,0.047417870283591006,0.08787025653007,0.499651242686884,0.063838742920026,0.034172703854086
0.34444444444444444,0.7058823529411765,0.0,0.5708185053380782,0.5353045236290119,1.0,0.352370069164999,0.13282547530464228,0.1873624416304261,0.109027938195891,0.06861121691424601
0.4177777777777778,0.7843137254901962,0.0,0.5708185053380782,0.5353045236290119,1.0,0.369988704281936,0.1299435611253431,0.16774227939166825,0.109649454595548,0.06656260264403319
0.5466666666666666,0.9019607843137255,0.0,0.5708185053380782,0.5353045236290119,1.0,0.3117997829173489,0.14877270385408567,0.235542278045006,0.0995313880634531,0.06447926609805407
0.5555555555555556,0.9215686274509804,0.0,0.5708185053380782,0.5353045236290119,1.0,0.197743561125343,0.09761244821239,0.284982279391668,0.08167025653007,0.059757870283591
0.6666666666666666,0.9803921568627452,0.0,0.5708185053380782,0.5353045236290119,1.0,0.084899782917349,0.040116165548886,0.5417870069164991,0.021670256530069997,0.017742279391668
0.3333333333333333,0.7058823529411765,0.05,0.5708185053380782,0.5585392974475613,0.95,0.21079995124523646,0.16425787028359118,0.14168749463256586,0.122124268688442,0.1765262312100915
0.37777777777777777,0.7843137254901962,0.05,0.5708185053380782,0.5585392974475613,0.95,0.20787025653007007,0.15921065628188183,0.14383874292002585,0.123599669143359,0.18179264971486275
0.44,0.9019607843137255,0.05,0.5708185053380782,0.5585392974475613,0.95,0.204940561814904,0.144163442280172,0.175989991207486,0.115075069598276,0.180059068219634
0.5555555555555556,0.9411764705882353,0.05,0.5708185053380782,0.5585392974475613,0.95,0.073025347055621,0.117508603893795,0.240941959137853,0.069039458950663,0.191799782917349
0.6666666666666666,1.0,0.05,0.5708185053380782,0.5585392974475613,0.95,0.029943561125343,0.044982279391668004,0.540116165548886,0.024899782917349,0.073838742920026
